model,feature_set,horizon,n_splits,params,oos_r2,qlike_skill_ratio,folds_passed,n_folds,n_obs,holdout_oos_r2,holdout_qlike_skill_ratio
rv_gb,vol_macro,5,10,"{'n_estimators': 100, 'max_depth': 3}",-0.09484486227846745,2.1088431740408553,4,10,295,-1.107915502799571,2.0575354609458896
rv_gb,vol_macro,5,10,"{'n_estimators': 200, 'max_depth': 3}",-0.11460324552267509,2.3128075055993196,3,10,295,-1.2647580482227294,2.2767581535797126
rv_lasso,vol_macro,10,5,{'alpha': 0.1},-0.11684518889463646,1.1653740574168563,2,5,290,-1.4948852284256091,1.6493336595490358
rv_gb,vol_macro,10,10,"{'n_estimators': 200, 'max_depth': 3}",-0.1255418721750825,1.6635219274997382,3,10,290,-2.963765119035161,3.4720721313256937
rv_ridge,vol_macro,10,5,{'alpha': 1.0},-0.13401167242151102,1.6170893503574555,2,5,290,-0.08710985954782857,0.8583849470417916
rv_gb,vol_macro,10,10,"{'n_estimators': 100, 'max_depth': 3}",-0.1612519282102427,1.6805129787193989,3,10,290,-3.0930873187637804,3.6299825300541744
rv_lasso,vol_macro,5,10,{'alpha': 1.0},-0.1672312506309217,1.853651228936031,2,10,295,-1.0417098498619164,1.5087822498460766
rv_gb,vol_macro,10,10,"{'n_estimators': 100, 'max_depth': 5}",-0.17630545295971212,1.7526136010265654,3,10,290,-2.824873782808043,3.1708940994210195
rv_lasso,vol_macro,5,5,{'alpha': 1.0},-0.18212684631419163,1.9629646715791176,2,5,295,-1.0417098498619164,1.5087822498460766
rv_lasso,vol_macro,10,10,{'alpha': 0.01},-0.18567405111384572,2.133480512519877,4,10,290,-0.24554822108560104,0.9395980542444494
rv_gb,vol_macro,10,5,"{'n_estimators': 100, 'max_depth': 5}",-0.19342078308878197,1.0153057157654042,2,5,290,-2.824873782808043,3.1708940994210195
rv_lasso,vol_macro,10,10,{'alpha': 0.1},-0.21342525495249576,1.8127859909906128,2,10,290,-1.4948852284256091,1.6493336595490358
rv_gb,vol_macro,5,5,"{'n_estimators': 100, 'max_depth': 5}",-0.2158163774233206,1.7735600564436347,1,5,295,-1.035799819137286,2.029507522424053
rv_gb,vol_macro,5,5,"{'n_estimators': 100, 'max_depth': 3}",-0.21715390442554638,1.7416046650338144,1,5,295,-1.107915502799571,2.0575354609458896
rv_gb,vol_macro,10,5,"{'n_estimators': 100, 'max_depth': 3}",-0.23188128014805298,1.2024887026131779,2,5,290,-3.0930873187637804,3.6299825300541744
rv_gb,vol_macro,10,5,"{'n_estimators': 200, 'max_depth': 3}",-0.24982403439210077,1.213473788429423,2,5,290,-2.963765119035161,3.4720721313256937
rv_lasso,vol_macro,10,5,{'alpha': 1.0},-0.2597153013913682,1.8701057837383968,2,5,290,-2.2758938375327467,2.3098137065179745
rv_lasso,vol_macro,10,10,{'alpha': 1.0},-0.26976341408012594,1.8382289122803288,3,10,290,-2.2758938375327467,2.3098137065179745
rv_gb,vol_macro,5,5,"{'n_estimators': 200, 'max_depth': 3}",-0.2837447017582717,2.0701264474933896,1,5,295,-1.2647580482227294,2.2767581535797126
rv_ridge,vol_macro,5,10,{'alpha': 1.0},-0.2982101710044649,1.8504117983191402,4,10,295,-0.15658827420791188,1.086562299590025
rv_ridge,vol_macro,10,10,{'alpha': 1.0},-0.3372347807048761,2.48094267749057,3,10,290,-0.08710985954782857,0.8583849470417916
rv_har,vol_macro,10,10,,-0.7589063331180907,3.0062006621164414,4,10,290,-0.1842075322620993,0.9910368591913011
rv_har,vol_macro,10,5,,-0.8769733211041377,2.695060826589905,1,5,290,-0.1842075322620993,0.9910368591913011
